Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,218.289993,218.710007,217.990005,218.460007,53236000,218.460007
2016-08-11,218.259995,218.940002,217.949997,218.649994,72504300,218.649994
2016-08-10,218.309998,218.399994,217.229996,217.639999,57941100,217.639999
2016-08-09,218.130005,218.759995,217.800003,218.179993,51251700,218.179993
2016-08-08,218.399994,218.520004,217.740005,218.050003,39906500,218.050003
2016-08-05,216.410004,218.229996,216.410004,218.179993,71892200,218.179993
2016-08-04,216.309998,216.779999,214.25,216.410004,46585500,216.410004
2016-08-03,215.479996,216.25,215.130005,216.179993,53993600,216.179993
2016-08-02,216.649994,216.830002,214.570007,215.550003,92295500,215.550003
2016-08-01,217.190002,217.649994,216.410004,216.940002,73311400,216.940002
2016-07-29,216.460007,217.539993,216.130005,217.119995,79519400,217.119995
2016-07-28,216.289993,217.110001,215.75,216.770004,65035700,216.770004
2016-07-27,217.190002,217.270004,215.619995,216.520004,84083900,216.520004
2016-07-26,216.529999,217.169998,215.759995,216.75,70080500,216.75
2016-07-25,217.00,217.059998,215.970001,216.649994,55873100,216.649994
2016-07-22,216.410004,217.300003,216.100006,217.240005,62787500,217.240005
2016-07-21,216.960007,217.220001,215.75,216.270004,67777300,216.270004
2016-07-20,216.190002,217.369995,216.190002,217.089996,58159500,217.089996
2016-07-19,215.919998,216.229996,215.630005,216.190002,54345700,216.190002
2016-07-18,215.970001,216.600006,215.669998,216.410004,58725900,216.410004
2016-07-15,216.779999,217.009995,215.309998,215.830002,107155400,215.830002
2016-07-14,216.399994,216.669998,215.660004,216.119995,91230900,216.119995
2016-07-13,215.440002,215.449997,214.350006,214.919998,87324100,214.919998
2016-07-12,214.529999,215.300003,213.429993,214.949997,101275600,214.949997
2016-07-11,213.190002,214.070007,212.949997,213.399994,73633900,213.399994
2016-07-08,211.050003,212.940002,210.779999,212.649994,133971000,212.649994
2016-07-07,209.869995,210.649994,208.630005,209.529999,85593800,209.529999
2016-07-06,207.830002,209.800003,207.059998,209.660004,96021500,209.660004
2016-07-05,208.949997,209.080002,207.710007,208.410004,109803700,208.410004
2016-07-01,209.479996,210.490005,209.289993,209.919998,106055300,209.919998
2016-06-30,207.210007,209.539993,206.559998,209.479996,165021900,209.479996
2016-06-29,204.839996,206.929993,204.720001,206.660004,137328600,206.660004
2016-06-28,201.479996,203.229996,201.119995,203.199997,159382400,203.199997
2016-06-27,201.589996,201.600006,198.649994,199.600006,230775800,199.600006
2016-06-24,203.630005,210.850006,202.720001,203.240005,333444400,203.240005
2016-06-23,209.809998,210.869995,209.270004,210.809998,102731400,210.809998
2016-06-22,208.649994,209.50,207.929993,208.100006,95560500,208.100006
2016-06-21,208.300003,208.919998,207.779999,208.440002,72461700,208.440002
2016-06-20,208.820007,209.610001,207.75,207.850006,82789600,207.850006
2016-06-17,207.169998,207.199997,205.75,206.520004,117055700,206.520004
2016-06-16,207.75,208.570007,205.589996,208.369995,149533100,207.291992
2016-06-15,208.039993,209.360001,207.529999,207.75,109124500,206.675204
2016-06-14,208.00,208.740005,206.919998,208.039993,125059300,206.963697
2016-06-13,209.360001,210.369995,208.350006,208.449997,117751200,207.37158
2016-06-10,210.460007,210.860001,209.429993,210.070007,113829200,208.983209
2016-06-09,211.509995,212.220001,211.190002,212.080002,73786900,210.982805
2016-06-08,211.839996,212.520004,211.690002,212.369995,66170900,211.271298
2016-06-07,211.529999,212.339996,211.50,211.679993,60974800,210.584865
2016-06-06,210.699997,211.770004,210.509995,211.350006,64887000,210.256586
2016-06-03,210.25,210.690002,208.860001,210.279999,101757100,209.192114
2016-06-02,209.800003,210.929993,209.240005,210.910004,63044700,209.81886
